Mr.	PROPN	Mr.
""""	PUNCT	""""
said	VERB	say
Holmes	PROPN	Holmes
.	PUNCT	.
""""	PUNCT	""""
"Excellent!""""I"	NOUN	"excellent!""""i"
think	VERB	think
also	ADV	also
that	SCONJ	that
the	DET	the
probability	NOUN	probability
is	AUX	be
in	ADP	in
favour	NOUN	favour
of	ADP	of
his	PRON	his
being	VERB	be
a	DET	a
country	NOUN	country
practitioner	NOUN	practitioner
who	PRON	who
does	VERB	do
a	DET	a
great	ADJ	great
deal	NOUN	deal
of	ADP	of
his	PRON	his
visiting	VERB	visit
on	ADP	on
foot	NOUN	foot
.	PUNCT	.
"""""Why"	PUNCT	"""""Why"
"so?""""Because"	VERB	"so?""""because"
this	DET	this
stick	NOUN	stick
,	PUNCT	,
though	SCONJ	though
originally	ADV	originally
a	DET	a
very	ADV	very
handsome	ADJ	handsome
one	NOUN	one
has	AUX	have
been	AUX	be
so	ADV	so
knocked	VERB	knock
about	ADP	about
that	SCONJ	that
I	PRON	I
can	AUX	can
hardly	ADV	hardly
imagine	VERB	imagine
a	DET	a
town	NOUN	town
practitioner	NOUN	practitioner
carrying	VERB	carry
it	PRON	it
.	PUNCT	.
The	DET	the
thick	ADJ	thick
-	PUNCT	-
iron	NOUN	iron
ferrule	NOUN	ferrule
is	AUX	be
worn	VERB	wear
down	ADP	down
,	PUNCT	,
so	CCONJ	so
it	PRON	it
is	AUX	be
evident	ADJ	evident
that	SCONJ	that
he	PRON	he
has	AUX	have
done	VERB	do
a	DET	a
great	ADJ	great
amount	NOUN	amount
of	ADP	of
walking	VERB	walk
with	ADP	with
it	PRON	it
.	PUNCT	.
"""""Perfectly"	ADV	"""""perfectly"
sound	ADJ	sound
!	PUNCT	!
""""	PUNCT	""""
said	VERB	say
Holmes	PROPN	Holmes
.	PUNCT	.
"""And"	PUNCT	"""And"
then	ADV	then
again	ADV	again
,	PUNCT	,
there	PRON	there
is	AUX	be
the	DET	the
'	PUNCT	'
friends	NOUN	friend
of	ADP	of
the	DET	the
C.C.H.	PROPN	C.C.H.
'	PUNCT	'
I	PRON	I
should	AUX	should
guess	VERB	guess
that	DET	that
to	PART	to
be	VERB	be
the	DET	the
Something	PROPN	Something
Hunt	PROPN	Hunt
,	PUNCT	,
the	DET	the
local	ADJ	local
hunt	NOUN	hunt
to	ADP	to
whose	DET	whose
members	NOUN	member
he	PRON	he
has	AUX	have
possibly	ADV	possibly
given	VERB	give
some	DET	some
surgical	ADJ	surgical
assistance	NOUN	assistance
,	PUNCT	,
and	CCONJ	and
which	DET	which
has	AUX	have
made	VERB	make
him	PRON	he
a	DET	a
small	ADJ	small
presentation	NOUN	presentation
in	ADP	in
return	NOUN	return
.	PUNCT	.
"""""Really"	PUNCT	"""""Really"
,	PUNCT	,
Watson	PROPN	Watson
,	PUNCT	,
you	PRON	you
excel	VERB	excel
yourself	PRON	yourself
,	PUNCT	,
""""	PUNCT	""""
said	VERB	say
Holmes	PROPN	Holmes
,	PUNCT	,
pushing	VERB	push
back	ADP	back
his	PRON	his
chair	NOUN	chair
and	CCONJ	and
lighting	VERB	light
a	DET	a
cigarette	NOUN	cigarette
.	PUNCT	.
""""	PUNCT	""""
I	PRON	I
am	AUX	be
bound	VERB	bind
to	PART	to
say	VERB	say
that	SCONJ	that
in	ADP	in
all	DET	all
the	DET	the
accounts	NOUN	account
which	DET	which
you	PRON	you
have	AUX	have
been	VERB	be
so	ADV	so
good	ADJ	good
as	ADP	as
to	PART	to
give	VERB	give
of	ADP	of
my	PRON	my
own	ADJ	own
small	ADJ	small
achievements	NOUN	achievement
you	PRON	you
have	AUX	have
habitually	ADV	habitually
underrated	VERB	underrate
your	PRON	your
own	ADJ	own
abilities	NOUN	ability
.	PUNCT	.
It	PRON	it
may	AUX	may
be	VERB	be
that	SCONJ	that
you	PRON	you
are	AUX	be
not	PART	not
yourself	PRON	yourself
luminous	ADJ	luminous
,	PUNCT	,
but	CCONJ	but
you	PRON	you
are	VERB	be
a	DET	a
conductor	NOUN	conductor
of	ADP	of
light	NOUN	light
.	PUNCT	.
Some	DET	some
people	NOUN	people
without	ADP	without
possessing	VERB	possess
genius	NOUN	genius
have	VERB	have
a	DET	a
remarkable	ADJ	remarkable
power	NOUN	power
of	ADP	of
stimulating	VERB	stimulate
it	PRON	it
.	PUNCT	.
I	PRON	I
confess	VERB	confess
,	PUNCT	,
my	PRON	my
dear	ADJ	dear
fellow	NOUN	fellow
,	PUNCT	,
that	SCONJ	that
I	PRON	I
am	AUX	be
very	ADV	very
much	ADV	much
in	ADP	in
your	PRON	your
debt	NOUN	debt
.	PUNCT	.
"""He"	PUNCT	"""He"
had	AUX	have
never	ADV	never
said	VERB	say
as	ADV	as
much	ADV	much
before	ADV	before
,	PUNCT	,
and	CCONJ	and
I	PRON	I
must	AUX	must
admit	VERB	admit
that	SCONJ	that
his	PRON	his
words	NOUN	word
gave	VERB	give
me	PRON	I
keen	ADJ	keen
pleasure	NOUN	pleasure
,	PUNCT	,
for	ADP	for
I	PRON	I
had	AUX	have
often	ADV	often
been	AUX	be
piqued	VERB	pique
by	ADP	by
his	PRON	his
indifference	NOUN	indifference
to	ADP	to
my	PRON	my
admiration	NOUN	admiration
and	CCONJ	and
to	ADP	to
the	DET	the
attempts	NOUN	attempt
which	DET	which
I	PRON	I
had	AUX	have
made	VERB	make
to	PART	to
give	VERB	give
publicity	NOUN	publicity
to	ADP	to
his	PRON	his
methods	NOUN	method
.	PUNCT	.
I	PRON	I
was	AUX	be
proud	ADJ	proud
,	PUNCT	,
too	ADV	too
,	PUNCT	,
to	PART	to
think	VERB	think
that	SCONJ	that
I	PRON	I
had	AUX	have
so	ADV	so
far	ADV	far
mastered	VERB	master
his	PRON	his
system	NOUN	system
as	ADP	as
to	PART	to
apply	VERB	apply
it	PRON	it
in	ADP	in
a	DET	a
way	NOUN	way
which	DET	which
earned	VERB	earn
his	PRON	his
approval	NOUN	approval
.	PUNCT	.
He	PRON	he
now	ADV	now
took	VERB	take
the	DET	the
stick	NOUN	stick
from	ADP	from
my	PRON	my
hands	NOUN	hand
and	CCONJ	and
examined	VERB	examine
it	PRON	it
for	ADP	for
a	DET	a
few	ADJ	few
minutes	NOUN	minute
with	ADP	with
his	PRON	his
naked	ADJ	naked
eyes	NOUN	eye
.	PUNCT	.
Then	ADV	then
with	ADP	with
an	DET	an
expression	NOUN	expression
of	ADP	of
interest	NOUN	interest
he	PRON	he
laid	VERB	lay
down	ADP	down
his	PRON	his
cigarette	NOUN	cigarette
,	PUNCT	,
and	CCONJ	and
carrying	VERB	carry
the	DET	the
cane	NOUN	cane
to	ADP	to
the	DET	the
window	NOUN	window
,	PUNCT	,
he	PRON	he
looked	VERB	look
over	ADP	over
it	PRON	it
again	ADV	again
with	ADP	with
a	DET	a
convex	ADJ	convex
lens	NOUN	lens
.	PUNCT	.
"""Interesting"	VERB	"""interesting"
,	PUNCT	,
though	SCONJ	though
elementary	ADJ	elementary
,	PUNCT	,
""""	PUNCT	""""
said	VERB	say
he	PRON	he
as	ADP	as
he	PRON	he
returned	VERB	return
to	ADP	to
his	PRON	his
favourite	ADJ	favourite
corner	NOUN	corner
of	ADP	of
the	DET	the
settee	NOUN	settee
.	PUNCT	.
""""	PUNCT	""""
There	PRON	there
are	AUX	be
certainly	ADV	certainly
one	NUM	one
or	CCONJ	or
two	NUM	two
indications	NOUN	indication
upon	SCONJ	upon
the	DET	the
stick	NOUN	stick
.	PUNCT	.
It	PRON	it
gives	VERB	give
us	PRON	we
the	DET	the
basis	NOUN	basis
for	ADP	for
several	ADJ	several
deductions	NOUN	deduction
.	PUNCT	.
"""""Has"	PUNCT	"""""Has"
anything	PRON	anything
escaped	VERB	escape
me	PRON	I
?	PUNCT	?
""""	PUNCT	""""
I	PRON	I
asked	VERB	ask
with	ADP	with
some	DET	some
self	NOUN	self
-	PUNCT	-
importance	NOUN	importance
.	PUNCT	.
""""	PUNCT	""""
I	PRON	I
trust	VERB	trust
that	SCONJ	that
there	PRON	there
is	AUX	be
nothing	PRON	nothing
of	ADP	of
consequence	NOUN	consequence
which	DET	which
I	PRON	I
have	AUX	have
"overlooked?""""I"	VERB	"overlooked?""""I"
am	VERB	be
afraid	ADJ	afraid
,	PUNCT	,
my	PRON	my
dear	ADJ	dear
Watson	PROPN	Watson
,	PUNCT	,
that	SCONJ	that
most	ADJ	most
